index,CustomerID,Gender,Age,Income,Score
1,61,Male,70,46,56
2,71,Male,70,49,55
3,58,Male,69,44,46
4,68,Female,68,48,48
5,91,Female,68,59,55
6,109,Male,68,63,43
7,11,Male,67,19,14
8,63,Female,67,47,52
9,83,Male,67,54,41
10,103,Male,67,62,59
11,107,Female,66,63,50
12,110,Male,66,63,48
13,41,Female,65,38,35
14,111,Male,65,63,52
15,9,Male,64,19,3
16,65,Male,63,48,51
17,117,Female,63,65,43
18,31,Male,60,30,4
19,73,Female,60,50,49
20,74,Female,60,50,56
21,54,Male,59,43,60
22,75,Male,59,54,47
23,129,Male,59,71,11
24,179,Male,59,93,14
25,13,Female,58,20,15
26,177,Male,58,88,15
27,81,Male,57,54,51
28,141,Female,57,75,5
29,161,Female,56,79,35
30,87,Female,55,57,58
31,25,Female,54,28,14
32,64,Female,54,47,59
33,108,Male,54,63,46
34,187,Female,54,101,24
35,33,Male,53,33,4
36,60,Male,53,46,46
37,19,Male,52,23,29
38,175,Female,52,88,13
39,57,Female,51,44,50
40,119,Female,51,67,43
41,47,Female,50,40,55
42,55,Female,50,43,45
43,90,Female,50,58,46
44,120,Female,50,67,57
45,165,Male,50,85,26
46,35,Female,49,33,14
47,45,Female,49,39,28
48,51,Female,49,42,52
49,80,Female,49,54,42
50,102,Female,49,62,48
51,105,Male,49,62,56
52,118,Female,49,65,59
53,43,Male,48,39,36
54,86,Male,48,54,46
55,93,Male,48,60,49
56,99,Male,48,61,42
57,147,Male,48,77,36
58,56,Male,47,43,41
59,72,Female,47,49,42
60,97,Female,47,60,47
61,131,Male,47,71,9
62,155,Female,47,78,16
63,195,Female,47,120,16
64,23,Female,46,25,5
65,84,Female,46,54,44
66,183,Male,46,98,15
67,27,Female,45,28,32
68,77,Female,45,54,53
69,197,Female,45,126,28
70,137,Female,44,73,7
71,153,Female,44,78,20
72,67,Female,43,48,50
73,127,Male,43,71,35
74,151,Male,43,78,17
75,37,Female,42,34,17
76,167,Male,42,86,20
77,185,Female,41,99,39
78,189,Female,41,103,17
79,29,Female,40,29,31
80,78,Male,40,54,48
81,94,Female,40,60,40
82,123,Female,40,69,58
83,128,Male,40,71,95
84,171,Male,40,87,13
85,124,Male,39,69,91
86,132,Male,39,71,75
87,152,Male,39,78,88
88,82,Male,38,54,55
89,113,Female,38,64,42
90,122,Female,38,67,40
91,130,Male,38,71,75
92,154,Female,38,78,76
93,194,Female,38,113,91
94,15,Male,37,20,13
95,157,Male,37,78,1
96,181,Female,37,97,32
97,39,Female,36,37,26
98,166,Female,36,85,75
99,169,Female,36,87,27
100,173,Male,36,87,10
101,174,Male,36,87,92
102,190,Female,36,103,85
103,7,Female,35,18,6
104,12,Female,35,19,99
105,17,Female,35,21,35
106,20,Female,35,23,98
107,21,Male,35,24,35
108,28,Male,35,28,61
109,140,Female,35,74,72
110,180,Male,35,93,90
111,196,Female,35,120,79
112,89,Female,34,58,60
113,149,Female,34,78,22
114,150,Male,34,78,90
115,159,Male,34,78,1
116,191,Female,34,103,23
117,52,Male,33,42,60
118,168,Female,33,86,95
119,193,Male,33,113,8
120,70,Female,32,48,47
121,95,Female,32,60,42
122,138,Male,32,73,73
123,142,Male,32,75,93
124,144,Female,32,76,87
125,148,Female,32,77,74
126,170,Male,32,87,63
127,182,Female,32,97,86
128,192,Female,32,103,69
129,198,Male,32,126,74
130,199,Male,32,137,18
131,5,Female,31,17,40
132,24,Male,31,25,73
133,44,Female,31,39,61
134,50,Female,31,40,42
135,53,Female,31,43,54
136,126,Female,31,70,77
137,134,Female,31,72,71
138,164,Female,31,81,93
139,10,Female,30,19,72
140,38,Female,30,34,73
141,158,Female,30,78,78
142,160,Female,30,78,73
143,176,Female,30,88,86
144,186,Male,30,99,97
145,200,Male,30,137,83
146,26,Male,29,28,82
147,49,Female,29,40,42
148,136,Female,29,73,88
149,162,Female,29,79,83
150,184,Female,29,98,88
151,143,Female,28,76,40
152,146,Male,28,77,97
153,172,Male,28,87,75
154,188,Male,28,101,68
155,48,Female,27,40,47
156,59,Female,27,46,51
157,98,Female,27,60,50
158,121,Male,27,67,56
159,156,Female,27,78,89
160,178,Male,27,88,69
161,76,Male,26,54,54
162,104,Male,26,62,55
163,22,Male,25,24,73
164,133,Female,25,72,34
165,145,Male,25,77,12
166,14,Female,24,20,77
167,42,Male,24,38,92
168,46,Female,24,39,65
169,96,Male,24,60,52
170,4,Female,23,16,77
171,8,Female,23,18,94
172,30,Female,23,29,87
173,79,Female,23,54,52
174,101,Female,23,62,41
175,125,Female,23,70,29
176,6,Female,22,17,76
177,16,Male,22,20,79
178,88,Female,22,57,55
179,2,Male,21,15,81
180,32,Female,21,30,73
181,36,Female,21,33,81
182,85,Female,21,54,57
183,106,Female,21,62,42
184,3,Female,20,16,6
185,18,Male,20,21,66
186,40,Female,20,37,75
187,100,Male,20,61,49
188,135,Male,20,73,5
189,1,Male,19,15,39
190,62,Male,19,46,55
191,69,Male,19,48,59
192,112,Female,19,63,54
193,114,Male,19,64,46
194,116,Female,19,65,50
195,139,Male,19,74,10
196,163,Male,19,81,5
197,34,Male,18,33,92
198,66,Male,18,48,59
199,92,Male,18,59,41
200,115,Female,18,65,48